chain,kind,block,ts,tx,sender,receiver,token,amount,to_chain_id,wid
arbitrum,unknown:0xbc7cd75a,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0x2f878811,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0x2f878811,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0x2f878811,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0x7d9b9b4f,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0xc7f505b2,479533237,1782974739000,0x8f0e3905dd1a15afec75609fd4971bdc8fc91ab377f49fdcf6bb48315600bf31,,,,,,
arbitrum,unknown:0x2f878811,479535246,1782975240000,0x882863c7f951352d06856b444d4b7ea376b07926fda4c0a1a702065dcd767797,,,,,,
arbitrum,unknown:0x2f878811,479535265,1782975245000,0xcf81c0b7e4901784b7c5ec929c58351ab4d2cbd147824f7ab9af5875a658b9cc,,,,,,
arbitrum,unknown:0x2f878811,479535283,1782975250000,0x370a759802d4f14490c591b18559e41f21afe54e6e349153fbd7857b7f194b6d,,,,,,
arbitrum,unknown:0xf6391f5c,479535295,1782975253000,0x55c02cffa94ca22fc6ad44eadf10aeada8ec11d46fa9d805fb8b13a4d6884a94,,,,,,
arbitrum,unknown:0xf6391f5c,479535304,1782975255000,0x3a38804628795af9d774ede5a7f797a001cc244a19f9ab14977921bf54827e32,,,,,,
arbitrum,unknown:0xf6391f5c,479535311,1782975257000,0x610dd8e564d6f93815b3c79be565ac9c5fbbae309570d2250ba8d16a532f9276,,,,,,
arbitrum,unknown:0x55f11f29,479648885,1783003613000,0x06658787f5fc80abf3b2f52bce2d6c0f11d66a69b1ef8632d52dd2aaa234fb46,,,,,,
arbitrum,unknown:0xeb896525,479648892,1783003615000,0xa9d4ea3ec8088f1adca87fdc93d470b97e3c0f7cf9ca3c0362afa33d969c7e42,,,,,,
arbitrum,unknown:0x830c37f6,479648898,1783003617000,0x3c1474540c205eb123c489243d58cfd9aa1e9eaf203fe70bcb65502e15ac04bb,,,,,,
arbitrum,unknown:0x830c37f6,479648898,1783003617000,0x3c1474540c205eb123c489243d58cfd9aa1e9eaf203fe70bcb65502e15ac04bb,,,,,,
arbitrum,unknown:0x830c37f6,479648898,1783003617000,0x3c1474540c205eb123c489243d58cfd9aa1e9eaf203fe70bcb65502e15ac04bb,,,,,,
arbitrum,unknown:0x6d1f7158,479648904,1783003618000,0x6eec38c96b594afab51b31d3abb78e20182cb9a0ef06f6c1e5f96753c33eb795,,,,,,
arbitrum,deposit,479659192,1783006187000,0x222a885fe76c0eb72b247cee62a6f6348bd8b813eb5034c9d3ee6dc93249feb0,0x6b898d794efaa640b8bca81214c4004340521c90,0x6b898d794efaa640b8bca81214c4004340521c90,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,20000000,2184,
arbitrum,deposit,479808741,1783043563000,0x2968009645e6a02a4de14fe665317333d8af3a77c4cae18899091fd73f055ad5,0xc20fdd2b41313760497a21da031ee5796ffcf620,0xc20fdd2b41313760497a21da031ee5796ffcf620,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,2000000,2184,
arbitrum,withdraw_final,479827014,1783048431000,0xa4bfb914b3104babe9cd2bdf8afc09acdc3099c60b9b198d319268f668c4278e,,,,,,1853002168139776
arbitrum,withdraw_final,479827025,1783048434000,0x9c43730e6bdce5fe6a91924c88d3a96c53ca30403e27b01d55a8a70c7d5576ea,,,,,,1853715132710912
arbitrum,withdraw_submit,479836590,1783050523000,0x12ba3660e0b9a9320456e0e974ff8cbd0bc986b1d7657affe7689bbcc974e45c,,0xc20fdd2b41313760497a21da031ee5796ffcf620,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,1000000,,1853715132710912
arbitrum,withdraw_submit,479839564,1783051266000,0x7e18e35348f405b035fba81c3955152f13df658aee32dd6eb87cde8d40867475,,0x6b898d794efaa640b8bca81214c4004340521c90,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,4000000,,1853002168139776
arbitrum,deposit,479902042,1783066887000,0x50d1fcf9b9c7677dd8ae5ea571346bff18d2b8d90a0de77430a7bd29f9321e1c,0x4b282e0ee9ff036cdec42065fe1902327fa724b1,0x4b282e0ee9ff036cdec42065fe1902327fa724b1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,17937756,2184,
arbitrum,deposit,479920438,1783071481000,0x2aec479602b7b032d1f509237e95c78f01efaa42f863a64c08d9750146b4ce55,0xe691c0923c592aa35ea520c680125cfc658ec787,0xe691c0923c592aa35ea520c680125cfc658ec787,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,100000000,2184,
arbitrum,withdraw_final,479940859,1783076883000,0x923d0abf002a043d3ae8b54952e0f3036d00dc871702edbae3c38d2ac72e266c,,,,,,2977527689641984
arbitrum,deposit,479940893,1783076590000,0x7ebd20be0158632ac7709d23f4b9d0a1e9980867b2cc589dd1e406282be3f52a,0xe691c0923c592aa35ea520c680125cfc658ec787,0xe691c0923c592aa35ea520c680125cfc658ec787,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,4000000,2184,
arbitrum,withdraw_submit,479945814,1783077819000,0x3750dbb754975d3d8130b9f945e416e539d91da2eb0e76a9f262368b8f687c0f,,0x4b282e0ee9ff036cdec42065fe1902327fa724b1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,9000000,,2977527689641984
arbitrum,deposit,480145201,1783127664000,0x0091643feb42880f84a8f1d3824161ed870b45c39e21efaee1efc2ee6e480c99,0xae264b17cbc88bd198c73882b4f8448db6ba86db,0xae264b17cbc88bd198c73882b4f8448db6ba86db,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,10000000,2184,
